City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,22.19,73,9,6.79,PN,1717949488
1,hobyo,5.3505,48.5268,27.35,71,28,12.63,SO,1717949488
2,anadyr,64.75,177.4833,0.28,100,0,3.0,RU,1717949489
3,suva,-18.1416,178.4415,17.71,100,75,1.54,FJ,1717949489
4,wuxue,29.8506,115.5525,20.89,98,98,1.6,CN,1717949490
5,blackmans bay,-43.0167,147.3167,5.29,87,14,0.89,AU,1717949490
6,zaozersk,69.4005,32.4476,5.05,84,70,7.15,RU,1717949491
7,albany,42.6001,-73.9662,15.93,88,100,0.45,US,1717949374
8,papatowai,-46.5619,169.4708,9.73,95,100,4.43,NZ,1717949491
9,grytviken,-54.2811,-36.5092,-4.38,79,21,7.04,GS,1717949492
10,san antonio de pale,-1.4014,5.6325,25.03,79,62,5.01,GQ,1717949492
11,usta muhammad,28.1794,68.0445,38.56,15,0,3.83,PK,1717949493
12,waitangi,-43.9535,-176.5597,13.23,87,100,5.36,NZ,1717949494
13,puerto natales,-51.7236,-72.4875,0.33,95,100,2.56,CL,1717949494
14,margaret river,-33.95,115.0667,15.0,71,100,11.78,AU,1717949494
15,grand baie,-20.0182,57.5802,21.92,88,75,1.34,MU,1717949495
16,neiafu,-18.65,-173.9833,24.48,56,99,7.44,TO,1717949495
17,mamers,48.3333,0.25,21.48,66,43,5.5,FR,1717949496
18,rimus,16.8764,120.3966,27.76,83,99,1.54,PH,1717949496
19,bethel,41.3712,-73.414,20.42,82,75,4.63,US,1717949458
20,port-aux-francais,-49.35,70.2167,6.72,98,100,18.69,TF,1717949497
21,jamestown,42.097,-79.2353,18.34,65,75,4.63,US,1717949487
22,civitavecchia,42.0933,11.7967,28.11,74,88,10.29,IT,1717949498
23,atafu village,-8.5421,-172.5159,28.23,74,100,3.62,TK,1717949300
24,utrik,11.2278,169.8474,28.27,80,76,5.88,MH,1717949263
25,n'zeto,-7.2312,12.8666,24.3,75,59,5.03,AO,1717949500
26,lebu,-37.6167,-73.65,12.97,84,37,7.19,CL,1717949500
27,petropavlovsk-kamchatsky,53.0452,158.6483,10.25,63,97,6.26,RU,1717949501
28,iqaluit,63.7506,-68.5145,3.72,51,46,2.38,CA,1717949501
29,wayne,42.2506,-83.2833,22.69,58,40,5.14,US,1717949326
30,fort bragg,35.139,-79.006,33.23,46,20,2.57,US,1717949502
31,ponta delgada,37.7333,-25.6667,21.4,73,20,5.66,PT,1717949503
32,bahir dar,11.5936,37.3908,24.37,57,58,6.31,ET,1717949503
33,misratah,32.3754,15.0925,28.74,43,19,7.28,LY,1717949504
34,tarlungeni,45.6333,25.75,26.66,41,88,3.0,RO,1717949504
35,taroa,8.7058,171.2275,28.18,79,70,5.58,MH,1717949505
36,petauke,-14.2426,31.3253,17.03,61,82,3.03,ZM,1717949340
37,port lincoln,-34.7333,135.8667,15.18,55,100,3.72,AU,1717949505
38,aasiaat,68.7098,-52.8699,1.19,97,100,1.38,GL,1717949506
39,cobram,-35.9167,145.65,7.04,91,25,2.78,AU,1717949506
40,villa gesell,-37.2639,-56.973,22.25,78,52,9.92,AR,1717949221
41,brokopondo,4.75,-55.1667,28.55,68,32,0.54,SR,1717949507
